job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
https://joblab.ru/vac3345049.html|Монтажник слаботочных систем|"АО ""ФОРТЭКС"""|Нахабино|от 45 000 руб.|Полный рабочий день|Оформление в соответствии с ТК РФ, , Оплата связи, , Офис находится в Нахабино, , Обучение в процессе работы.|Монтаж оптических кабелей, Настройка оптического оборудования, Выявление и устранение повреждений.|Среднее|Не требуется|........... ................ ...................... .............. ............. ............ ..............|18.10.2023 09:16:00|27|
https://joblab.ru/vac1317891.html|Заправщик картриджей-упаковщик|"ООО ""ЮНИТОН СЕРВИС"""|Москва|от 45 000 руб.|Полный рабочий день|С 9-00 lдо 18-00 или 10-00 до 19-00, пятидневка. Рабочее место: метро Электрозаводская, 7 минут пешком, оклад 45000 на руки, премия|Заправка картриджей, упаковка картриджей, работа сдельная.|Среднее|Не требуется|Ответственность, без вредных привычек, возможно без опыта работы.|18.10.2023 09:16:00|79|
https://joblab.ru/vac11167691.html|Специалист технической поддержки|"АО ""ФОРТЭКС"""|Нахабино|от 35 000 руб.|Сменный график|Оформление в соответствии с ТК РФ|1.Консультирование пользователей., 2.Установка и подключение персональных компьютеров и периферийных устройств., 3.Контроль технического состояния оборудования в программе мониторинга.|Среднее|Не требуется||18.10.2023 09:16:00|15|
https://joblab.ru/vac1715198.html|Мастер по ремонту оргтехники|"ООО ""ЮНИТОН СЕРВИС"""|Москва|от 60 000 руб.|Полный рабочий день|С 10 до 19, пятидневка, зарплата от 60 000 рублей на руки (сдельная), работа в офисе и на выезде по Москве. Трудоустройство по ТК. Проезд оплачивается.|Ремонт оргтехники, Москва и ближнее Подмосковье.|Среднее специальное|От 1 года|Опыт работы по ремонту оргтехники не менее 1 года, образование не ниже средне-специального. Просьба высылать резюме.|18.10.2023 09:16:00|58|
https://joblab.ru/vac10556952.html|Продавец-консультант|"ПАО ""ВымпелКом"" (Билайн)"|Котельники|от 65 000 руб.|Полный рабочий день|"Мы предлагаем:, ДМС со стоматологией, Оплату мобильной связи на 1500 в месяц, 2 дополнительных дня отпуска от компании - всего 30 отпускных дней, Скидки для сотрудников на технику и продукты билайна, Оплачиваемое обучение, Оформление на трудовой договор, Доход, состоящий из окладной и премиальной частей, Офис рядом с домом, График работы 5/2 с плавающими выходными, В нашем офисе обслуживания ты будешь:, Консультировать клиентов, Настраивать тарифы абонентам билайна, Подключать услуги и сервисы, Опыт в продажах не требуется., У тебя будет мобильное приложение, в котором есть все характеристики гаджетов и тарифов. Ты сможешь легко отвечать на любые вопросы клиентов., Приступить к работе можно всего за 3 дня:, 1. Нажми ""откликнуться"" и мы перезвоним в течение рабочего дня, 2. Пригласим в ближайший офис для встречи с руководителем, 3. Подпишем договор, ------------------------------------------------------------------------------------------------------------------, Будет преимуществом опыт работы в должностях: менеджер по работе с клиентами, специалист салона связи, администратор, кассир, сервисный специалист, мерчандайзер, кредитный специалист, оператор колл центра, курьер, менеджер по продажам, продавец-консультант, специалист по продажам, менеджер офиса продаж, промоутер., Тебе понравится в билайне, если работал в компаниях: Яндекс, СБЕР, Тинькофф, Пятерочка, Магнит, Самокат, Яндекс Доставка, OZON, Wildberries, Вкусно - и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком."||Среднее|Не требуется||18.10.2023 09:16:00|365|
https://joblab.ru/vac10790815.html|Ведущий инженер по ремонту оборудования|"ПАО ""Газпром"""|Москва|до 85 000 руб.|Полный рабочий день|График 5/2 с 09.00 - 18.00, пятница до 16.45, Оформление по ТК РФ, ДМС и премии после испытательного срока, Ежегодная индексация заработной платы, Премии на 23 февраля, день работника нефтяной и газовой промышленности, мат. помощь к отпуску в размере оклада, НГ и юбилейные даты.|"Контроль и организация работ по ремонту оборудования (бытовая и офисная техника), Контроль целевого использования запасных частей и материалов, Составление заявок и расчетов на приобретение необходимого оборудования, материалов, запасных частей для ремонта техники, установленной на объектах ПАО ""Газпром"" в г. Москва."|Высшее|От 3 лет|Высшее техническое образование, Опыт эксплуатации оборудования Electrolux, Winterhalter, Zanussi, Validex, Zanotti, опыт ремонта офисной техники (МФУ, принтеры, и т.п.), MS Office, 1С приветствуется.|18.10.2023 09:16:00|162|
https://joblab.ru/vac1700514.html|Монтажник-слаботочник, техник|"ООО ""Охранное предприятие ""СпН Центр"""|Фряново|45 000 — 65 000 руб.|Полный рабочий день|Знание ПК, наличие водительского удостоверения, опыт работы по монтажу охранно-пожарных систем, стрессоустойчивость., Монтаж и обслуживание систем ОПС. Рабочий день с 9.00 до 18.00, полный соц.пакет, ПРЕДУСМОТРЕНЫ ПРЕМИИ. Рабочее место в г. Черноголовка.||Среднее специальное|Не требуется||18.10.2023 09:16:00|142|
https://joblab.ru/vac10600825.html|Программист 1С|"ООО ""Семена НК"""|Щелково|По договоренности|Полный рабочий день|Трудоустройство в соответствии с ТК. Зарплата, график и характер работы по договоренности.|Сопровождение и доработка типовых и не типовых конфигураций 1С. Администрирование, поддержка и консультирование пользователей программы. Написание дополнительных отчетов и обработок., Сбор и анализ заявок от подразделений., Обучение пользователей., Разработка и внедрение инструментов контроля для каждого отдела компании (управленческих отчетов по ключевым показателям деятельности компании), Поддержание и оптимизация CRM системы., Интеграция и обмен данными с внешними подсистемами., Анализ производительности сервера 1С.|Высшее|От 1 года|"Знание всех типовых конфигураций 1С: ERP, УТ редакция 10и 11, УПП, ЗУП, Розница, 1С бухгалтерия и др., Опыт настройки интеграции с 1С и обмена данными (службы доставки, платежные системы, другие сервисы)., Опыт работы с веб-сервисами., Умение разбирать и дорабатывать ""чужой"" код., Знание предметных областей бухгалтерского учета, расчета заработной платы, кадрового учета, бюджетирования, управленческого и складского учета., Опыт анализа производительности приложений 1С и их оптимизации., Участие в разработках, связанных с 1С (мобильные приложения, API, IP телефония и др.)"|18.10.2023 09:15:00|130|
https://joblab.ru/vac11171562.html|Системный администратор|"ООО ""МС Конструкция"""|Москва|100 000 — 120 000 руб.|Полный рабочий день|Приглашаем в строительную компанию системного администратора на постоянную работу., Пятидневка, 09.00-18.00, либо 10.00-19.00, Пятница - сокращенный день на 1 час, Бесплатные обеды, Кофе, вкусняшки|Администрирование локальной сети компании: настройка и обновление рабочих станций, ПО, поддержка пользователей (35 чел.), Обслуживание оргтехники, Администрирование 1С, Установка, поддержка СКУД, видеонаблюдения, IP телефонии, Требования:, Знание модели OSI, Опыт администрирования Windows, Linux сервер и стека протоколов TCP/IP, Опыт построения ЛВС, СКС, Офис м.Академическая|Высшее|От 5 лет|Предлагаем Вам рассмотреть вакансию системного администратора (не удаленно). , Офис м.Академическая, Описание вакансии:, Администрирование локальной сети компании: настройка и обновление рабочих станций, ПО, поддержка пользователей (35 чел.), Обслуживание оргтехники, Администрирование 1С, Поддержка СКУД, видеонаблюдения, IP телефонии, Требования:, Профильное образование, Опыт аналогичной работы от 3 лет, Знание модели OSI, Опыт администрирования Windows, Linux сервер и стека протоколов TCP/IP, Опыт построения ЛВС, СКС|18.10.2023 09:14:00|41|
https://joblab.ru/vac10184164.html|Монтажник волс|ГК Континент|Москва|от 100 000 руб.|Полный рабочий день|Оператор связи приглашает квалифицированных специалистов в области оптоволоконных средств телекоммуникаций для выполнения работ по строительству волоконно-оптических линий связи в Москве и Московской области., Офис и склад находится в Московская область, г. Королев, Объекты в г. Москве и Московской области, Возможность содействия в проживании на территории работодателя, Стабильный оклад + премия|прокладка оптических кабелей: по зданиям, в кабельной канализации, опорам освещения, строительство интернет сетей, подключение телекоммуникационных шкафов к сети электропитания, строительство слаботочных каналов, проведение технических изысканий.|Среднее специальное|От 1 года|опыт работы по ВОЛС, умение и желание работать руками, с электроинструментом, пунктуальность|18.10.2023 09:14:00|127|
